PartitionKey,RowKey,source,title,description,instructor,level,role,product,duration,rating_count,rating_average,url
ms-learn,0f1011d2-af9d-4548-b100-6b771adb8f95,MS Learn,Set up and manage Dynamics 365 Marketing,"Turn prospects into business relationships by using Microsoft Dynamics 365 Marketing. Move beyond basic email marketing to identify and develop more sales-ready leads. Easily connect sales and marketing, automate processes, and make smarter decisions to maximize your marketing return on investment.",,intermediate,functional-consultant,dynamics-365,56,590,4.63,https://docs.microsoft.com/en-us/learn/modules/get-started-set-up-and-manage/?WT.mc_id=api_CatalogApi
ms-learn,9a9ff259-c261-46bd-8334-cdf2702ee3e6,MS Learn,Set up and manage Dynamics 365 Marketing,"Turn prospects into business relationships by using Microsoft Dynamics 365 Marketing. Move beyond basic email marketing to identify and develop more sales-ready leads. Easily connect sales and marketing, automate processes, and make smarter decisions to maximize your marketing return on investment.",,intermediate,functional-consultant,dynamics-marketing,56,590,4.63,https://docs.microsoft.com/en-us/learn/modules/get-started-set-up-and-manage/?WT.mc_id=api_CatalogApi
ms-learn,0a1426d3-50ef-41f9-bbd0-bd203363e9f1,MS Learn,Set up and manage Dynamics 365 Marketing,"Turn prospects into business relationships by using Microsoft Dynamics 365 Marketing. Move beyond basic email marketing to identify and develop more sales-ready leads. Easily connect sales and marketing, automate processes, and make smarter decisions to maximize your marketing return on investment.",,intermediate,business-user,dynamics-365,56,590,4.63,https://docs.microsoft.com/en-us/learn/modules/get-started-set-up-and-manage/?WT.mc_id=api_CatalogApi
ms-learn,0ff6e16a-88fb-4af8-8eb1-8a3cb26c2c75,MS Learn,Set up and manage Dynamics 365 Marketing,"Turn prospects into business relationships by using Microsoft Dynamics 365 Marketing. Move beyond basic email marketing to identify and develop more sales-ready leads. Easily connect sales and marketing, automate processes, and make smarter decisions to maximize your marketing return on investment.",,intermediate,business-user,dynamics-marketing,56,590,4.63,https://docs.microsoft.com/en-us/learn/modules/get-started-set-up-and-manage/?WT.mc_id=api_CatalogApi
ms-learn,2168d3b0-0fef-491e-bcc6-22ba04c50120,MS Learn,Dynamics 365 Customer Service,"Dynamics 365 Customer Service empowers companies to deliver end-to-end self-service and onsite service across multiple channels. This module explores the Dynamics 365 Customer Service application and introduces important product features, benefits, and examples of the product in action.",,beginner,business-user,dynamics-365,27,3702,4.69,https://docs.microsoft.com/en-us/learn/modules/dynamics-365-for-customer-service/?WT.mc_id=api_CatalogApi
ms-learn,fbdb87b3-69b9-4aaf-954d-1a40d629c74a,MS Learn,Dynamics 365 Customer Service,"Dynamics 365 Customer Service empowers companies to deliver end-to-end self-service and onsite service across multiple channels. This module explores the Dynamics 365 Customer Service application and introduces important product features, benefits, and examples of the product in action.",,beginner,business-user,dynamics-cust-svc-insights,27,3702,4.69,https://docs.microsoft.com/en-us/learn/modules/dynamics-365-for-customer-service/?WT.mc_id=api_CatalogApi
ms-learn,a3c6a7ac-34ee-4eb5-9584-99298c6b9068,MS Learn,Dynamics 365 Customer Service,"Dynamics 365 Customer Service empowers companies to deliver end-to-end self-service and onsite service across multiple channels. This module explores the Dynamics 365 Customer Service application and introduces important product features, benefits, and examples of the product in action.",,beginner,business-user,dynamics-customer-service,27,3702,4.69,https://docs.microsoft.com/en-us/learn/modules/dynamics-365-for-customer-service/?WT.mc_id=api_CatalogApi
ms-learn,707a2e8a-ee95-4cff-a4ff-ecfe26858c61,MS Learn,Deploy social messaging channels in Omnichannel for Dynamics 365 Customer Service,Learn how to deploy social messaging channels in Omnichannel for Dynamics 365 Customer Service.,,intermediate,functional-consultant,dynamics-365,27,7,4.71,https://docs.microsoft.com/en-us/learn/modules/social-channels/?WT.mc_id=api_CatalogApi
ms-learn,c90188df-3606-452e-8989-8c5b07d90722,MS Learn,Deploy social messaging channels in Omnichannel for Dynamics 365 Customer Service,Learn how to deploy social messaging channels in Omnichannel for Dynamics 365 Customer Service.,,intermediate,functional-consultant,dynamics-customer-service,27,7,4.71,https://docs.microsoft.com/en-us/learn/modules/social-channels/?WT.mc_id=api_CatalogApi
ms-learn,9ee3c563-31fb-4055-a37b-71ffdcb7906c,MS Learn,Deploy social messaging channels in Omnichannel for Dynamics 365 Customer Service,Learn how to deploy social messaging channels in Omnichannel for Dynamics 365 Customer Service.,,intermediate,business-user,dynamics-365,27,7,4.71,https://docs.microsoft.com/en-us/learn/modules/social-channels/?WT.mc_id=api_CatalogApi
